<https://info.internet.org/en/>;rel="original"
,<http://web.archive.org/web/20151225234040/https://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 23:40:40 GMT"
,<http://web.archive.org/web/20151225234041/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 25 Dec 2015 23:40:41 GMT"
,<http://web.archive.org/web/20151225234047/http://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 23:40:47 GMT"
,<http://web.archive.org/web/20151226101030/https://info.internet.org/en>;rel="memento"; datetime="Sat, 26 Dec 2015 10:10:30 GMT"
,<http://web.archive.org/web/20151226101031/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 26 Dec 2015 10:10:31 GMT"
,<http://web.archive.org/web/20151226101037/http://info.internet.org/en>;rel="memento"; datetime="Sat, 26 Dec 2015 10:10:37 GMT"
,<http://web.archive.org/web/20151226112833/https://info.internet.org/en>;rel="memento"; datetime="Sat, 26 Dec 2015 11:28:33 GMT"
,<http://web.archive.org/web/20151226112834/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 26 Dec 2015 11:28:34 GMT"
,<http://web.archive.org/web/20151226112840/http://info.internet.org/en>;rel="memento"; datetime="Sat, 26 Dec 2015 11:28:40 GMT"
,<http://web.archive.org/web/20151227011756/https://info.internet.org/en>;rel="memento"; datetime="Sun, 27 Dec 2015 01:17:56 GMT"
,<http://web.archive.org/web/20151227011757/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 27 Dec 2015 01:17:57 GMT"
,<http://web.archive.org/web/20151227011803/http://info.internet.org/en>;rel="memento"; datetime="Sun, 27 Dec 2015 01:18:03 GMT"
,<http://web.archive.org/web/20151227054036/https://info.internet.org/en>;rel="memento"; datetime="Sun, 27 Dec 2015 05:40:36 GMT"
,<http://web.archive.org/web/20151227054038/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 27 Dec 2015 05:40:38 GMT"
,<http://web.archive.org/web/20151227054051/http://info.internet.org/en>;rel="memento"; datetime="Sun, 27 Dec 2015 05:40:51 GMT"
,<http://web.archive.org/web/20151227081435/https://info.internet.org/en>;rel="memento"; datetime="Sun, 27 Dec 2015 08:14:35 GMT"
,<http://web.archive.org/web/20151227081436/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 27 Dec 2015 08:14:36 GMT"
,<http://web.archive.org/web/20151227081442/http://info.internet.org/en>;rel="memento"; datetime="Sun, 27 Dec 2015 08:14:42 GMT"
,<http://web.archive.org/web/20151227105041/https://info.internet.org/en>;rel="memento"; datetime="Sun, 27 Dec 2015 10:50:41 GMT"
,<http://web.archive.org/web/20151227105042/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 27 Dec 2015 10:50:42 GMT"
,<http://web.archive.org/web/20151227105051/http://info.internet.org/en>;rel="memento"; datetime="Sun, 27 Dec 2015 10:50:51 GMT"
,<http://web.archive.org/web/20151227122815/https://info.internet.org/en>;rel="memento"; datetime="Sun, 27 Dec 2015 12:28:15 GMT"
,<http://web.archive.org/web/20151227122816/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 27 Dec 2015 12:28:16 GMT"
,<http://web.archive.org/web/20151227122823/http://info.internet.org/en>;rel="memento"; datetime="Sun, 27 Dec 2015 12:28:23 GMT"
,<http://web.archive.org/web/20151227215703/https://info.internet.org/en>;rel="memento"; datetime="Sun, 27 Dec 2015 21:57:03 GMT"
,<http://web.archive.org/web/20151227215710/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 27 Dec 2015 21:57:10 GMT"
,<http://web.archive.org/web/20151227233025/https://info.internet.org/en>;rel="memento"; datetime="Sun, 27 Dec 2015 23:30:25 GMT"
,<http://web.archive.org/web/20151227233027/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 27 Dec 2015 23:30:27 GMT"
,<http://web.archive.org/web/20151227233037/http://info.internet.org/en>;rel="memento"; datetime="Sun, 27 Dec 2015 23:30:37 GMT"
,<http://web.archive.org/web/20151228062419/https://info.internet.org/en>;rel="memento"; datetime="Mon, 28 Dec 2015 06:24:19 GMT"
,<http://web.archive.org/web/20151228062421/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 28 Dec 2015 06:24:21 GMT"
,<http://web.archive.org/web/20151228062429/http://info.internet.org/en>;rel="memento"; datetime="Mon, 28 Dec 2015 06:24:29 GMT"
,<http://web.archive.org/web/20151228083909/https://info.internet.org/en>;rel="memento"; datetime="Mon, 28 Dec 2015 08:39:09 GMT"
,<http://web.archive.org/web/20151228083910/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 28 Dec 2015 08:39:10 GMT"
,<http://web.archive.org/web/20151228083916/http://info.internet.org/en>;rel="memento"; datetime="Mon, 28 Dec 2015 08:39:16 GMT"
,<http://web.archive.org/web/20151228092505/https://info.internet.org/en>;rel="memento"; datetime="Mon, 28 Dec 2015 09:25:05 GMT"
,<http://web.archive.org/web/20151228092506/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 28 Dec 2015 09:25:06 GMT"
